Contributor,Phylum,Class,Family,IUCN_Names,ScientificName_accepted,AphiaID_accepted,Maximum.body.size,Maximum.body.size.reference,Maximum.body.size.certainty,Body.size,Body.size.reference,Body.size.certainty,Body.form,Body.form.reference,Body.form.certainty,Skeleton.material,Skeleton.material.reference,Skeleton.material.certainty,Motility,Motility.reference,Motility.certainty,Migration,Migration.reference,Migration.certainty,Environmental.position,Environmental.position.reference,Environmental.position.certainty,Substratum.affinity,Substratum.affinity.reference,Substratum.affinity.certainty,Distribution,Distribution.reference,Distribution.certainty,Depth.range,Depth.range.reference,Depth.range.certainty,Feeding.structure,Feeding.structure.reference,Feeding.structure.certainty,Feeding.mode,Feeding.mode.reference,Feeding.mode.certainty,Trophic.position,Trophic.position.reference,Trophic.position.certainty,Developmental.mechanism,Developmental.mechanism.reference,Developmental.mechanism.certainty,Reproductive.type,Reproductive.type.reference,Reproductive.type.certainty,Fertility.type,Fertility.type.reference,Fertility.type.certainty,Reproductive.frequency,Reproductive.frequency.reference,Reproductive.frequency.certainty,Growth.rate,Growth.rate.reference,Growth.rate.certainty,Age.at.sexual.maturity,Age.at.sexual.maturity.reference,Age.at.sexual.maturity.certainty,Life.span,Life.span.reference,Life.span.certainty,Regeneration.capacity,Regeneration.capacity.reference,Regeneration.capacity.certainty,Sociability,Sociability.reference,Sociability.certainty,Protection,Protection.reference,Protection.certainty,Diel.activity.pattern,Diel.activity.pattern.reference,Diel.activity.pattern.certainty,Habitat.complexity,Habitat.complexity.reference,Habitat.complexity.certainty,Notes
,Chordata,Aves,Alcidae,Aethia psittacula,Aethia psittacula,422957,500,"Planet of Birds, https://planetofbirds.com/. Date accessed: 01/11/24",3,100 - <1000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 30/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2021",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/10/2024",3,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2024",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Ocean basin/realms,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Known diver > Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 20/10/2024, Bedard, J. (1969). Feeding of the least, crested, and parakeet auklets around St. Lawrence Island, Alaska. Canadian Journal of Zoology. 47: 1025-1050.",1,Hard structures,Kamilla Hindmarch,3,Predator; Scavenger,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,3,"NatureServe Explorer, https://explorer.natureserve.org/. Date accessed: 24/10/24",2,,,0,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/10/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal,"Bedard, J. Ecological segregation among plankton-feeding alcidae (aethia-a and cyclorrhynchus). Graduate Thesis. 10.14288/1.0106803. (1967)",2,None,Phylogenetic contraint; common knowledge,3,
Cerren Richards and Kamilla Hindmarch,Chordata,Aves,Procellariidae,Ardenna bulleri,Puffinus bulleri,225986,1040,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 1/11/2024",3,100 - <1000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 30/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2022",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/10/2024",3,Aerial;Surface,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2025",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Burger, A. E. (2001). Diving Depth of Shearwaters. The Auk, 118, 755-759.",1,Hard structures,Kamilla Hindmarch,3,Predator; Scavenger,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,n/a,,0,,,0,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 03/12/24",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",3,None,Phylogenetic contraint; common knowledge,3,
Cerren Richards and Kamilla Hindmarch,Chordata,Aves,Procellariidae,Ardenna carneipes,Puffinus carneipes,212635,1160,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 07/11/2024",3,100 - <1000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 30/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2023",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/10/2024",3,Aerial;Surface,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2026",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Rayner, M.J., Taylor, G.A., Thompson, D.R., Torres, L.G., Sagar, P.M. and Shaffer, S.A. (2011). Migration and diving activity in three non-breeding flesh-footed shearwaters Puffinus carneipes. Journal of Avian Biology. 42(3): 266–270; Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2028",3,Hard structures,Kamilla Hindmarch,3,Predator,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,5,https://www.nzbirdsonline.org,2,Medium-long,"Yap, V.H.S., Stewart, L.G., Stuckenbrock, S., Fidler, A.L. & Lavers, J.L. 2021. Longevity records for the Brown Booby Sula leucogaster and Flesh-footed Shearwater Ardenna carneipes. Marine Ornithology 49: 167–170.",3,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 03/12/25",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",3,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Procellariidae,,Ardenna creatopus,1674258,1180,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 07/11/2024",3,100 - <1000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 30/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2024",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2024",3,Aerial;Surface,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2027",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/09/2024; Adams, J., J. J. Felis, M. Czapanskiy, R. D. Carle, and P. J. Hodum (2019). Diving behavior of Pink-footed Shearwaters Ardenna creatopus rearing chicks on Isla Mocha, Chile. Marine Ornithology 47:17–24.",3,Hard structures,Kamilla Hindmarch,3,Predator,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,n/a,,0,,,0,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/10/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",3,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Procellariidae,Ardenna grisea,Puffinus griseus,137202,1090,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 07/11/2024",3,100 - <1000 mm; 1000 - <10000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 30/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2025",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2024",3,Aerial;Surface,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2028",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m; 50-200m,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/09/2024; Adams, J., J. J. Felis, M. Czapanskiy, R. D. Carle, and P. J. Hodum (2019); Weimerskirch, H. and Sagar, P.M. (1996). Diving depths of Sooty Shearwaters Puffinus griseus. Ibis. 138(4): 786–788",3,Hard structures,Kamilla Hindmarch,3,Predator,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,7.5,Human Aging Genomics Resources. https://genomics.senescence.info/ Date accessed: 24/10/24,2,,,0,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Sibley, D. (2016). Birds of Western North America, Helm Field Guides (2nd ed.). London, UK: Bloomsbury Publishing Plc.",3,No protection,Phylogenetic contraint; common knowledge,3,,,0,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Procellariidae,Ardenna tenuirostris,Puffinus tenuirostris,225770,1000,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 07/11/2024",3,100 - <1000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 30/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2026",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2024",3,Aerial;Surface,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2029",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m; 50-200m,"Brooke, M. (2004). Albatrosses and Petrels Across the World. Oxford University Press, Oxford, UK; Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/09/2024",3,Hard structures,Kamilla Hindmarch,3,Predator,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,9,"Skira, I. The short-tailed sheawater: a review of its biology. Corella. 15(2). 45 - 52.",3,Medium; Medium-long,"Department of Natural Resources and Envirnment Tasmania, as.gov.au/wildlife-management/fauna-of-tasmania/birds/complete-list-of-tasmanian-birds. Date accessed: 05/11/24",3,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Sibley, D. (2016). Birds of Western North America, Helm Field Guides (2nd ed.). London, UK: Bloomsbury Publishing Plc.",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,"Brownlie, K., Monash, R., Geeson, J., Fort, J., Bustamante, P., Arnould, J. (2020) Developing a passive acoustic monitoring technique for Australia’s most numerous seabird, the Short-tailed Shearwater (Ardenna tenuirostris). Emu - Austral Ornithology, 120(2), 123–134. https://doi-org.ezproxy.library.uvic.ca/10.1080/01584197.2020.1732828

",2,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Anatidae,Aythya marila,Aythya marila,159172,840,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 07/11/2024",3,100 - <1000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 30/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2027",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/10/2024",3,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2030",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/09/2024; Cronan, Jr., J. M. (1957). Food and feeding habits of the scaups in Connecticut waters. Auk 74:459-468.",3,Hard structures,Kamilla Hindmarch,3,Predator,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 21/10/2024",3,Carnivore; Saprophagous,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 21/10/2024",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,2,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/10/2024",3,Medium; Medium-long,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/11/2024",3,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 01/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",3,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Alcidae,Brachyramphus marmoratus,Brachyramphus marmoratus,254308,254,"Animal Diversity Web, https://animaldiversity.org/. Date accessed: 31/10/2024",2,100 - <1000 mm,"Animal Diversity Web, https://animaldiversity.org/. Date accessed: 31/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2028",3,Horizontal; none,"Beauchamp, W.D., F. Cooke, C. Lougheed, L.W.
Lougheed, C.J. Ralph, and S. Courtney. 1999.
Seasonal movements of Marbled Murrelets:
evidence from banded birds. Condor 101:671–674",2,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2031",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Regional,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/09/2024; Mathews, N.J.C., Burger A.E. (1998) Diving depth of a marbled murrelet. Northwestern Naturalist 79:70-71.",2,Hard structures,Kamilla Hindmarch,3,Predator; Scavenger,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore; Saprophagous,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,3,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/10/2024",3,Medium,"US Fish and Wildlife Service, https://www.fws.gov/species/marbled-murrelet-brachyramphus-marmoratus. Date accessed: 05/11/24",2,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 01/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",2,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Anatidae,Bucephala islandica,Bucephala islandica,159198,762,"Animal Diversity Web, https://animaldiversity.org/. Date accessed: 31/10/2024",2,100 - <1000 mm; 1000 - <10000 mm,"Sibley, D. (2016). Birds of Western North America, Helm Field Guides (2nd ed.). London, UK: Bloomsbury Publishing Plc.",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2029",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/10/2024",3,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2032",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,Boreal Songbirds Initiative. www.borealbirds.org. Date accessed: 12/11/24,2,Hard structures,Kamilla Hindmarch,3,Predator,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 21/10/2024",3,Carnivore; Saprophagous,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 21/10/2024",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,4,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/10/2024",3,Medium,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/11/2024",3,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Sibley, D. (2016). Birds of Western North America, Helm Field Guides (2nd ed.). London, UK: Bloomsbury Publishing Plc.",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",3,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Stercorariidae,Catharacta maccormicki,Stercorarius maccormicki,422607,1400,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 08/11/2024",3,100 - <1000 mm; 1000 - <10000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 30/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2030",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/10/2024",3,Aerial;Surface,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2033",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,,,0,Hard structures,Kamilla Hindmarch,3,Predator,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 21/10/2024",3,Carnivore; Saprophagous,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 21/10/2024",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,6,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 25/10/2024",3,Medium,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/11/2024",3,None,Phylogenetic contraint; common knowledge,3,Solitary,"Sibley, D. (2016). Birds of Western North America, Helm Field Guides (2nd ed.). London, UK: Bloomsbury Publishing Plc.",3,No protection,Phylogenetic contraint; common knowledge,3,,,0,None,Phylogenetic contraint; common knowledge,3,
